"RiverOutfitterName","ROL_ID","ROL_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","GNIS_Name_CSV","GNIS_Name_CSV_Flag","GNIS_ID_CSV","GNIS_ID_CSV_Flag","Business_Address","Business_Municipality","State","Business_ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Latitude","Longitude","Lat_Long_Flag","Formation_Date","Formation_Date_Flag","Website","Website_Flag","CROA_Member","Comments"
"Clear Creek Rafting, LLC.",209,G,19931039745,G,"Arkansas River, Clear Creek",G,"00078956, 00181805",G,350 Whitewater Rd,Idaho Springs,CO,80452,10008,G,35.561912,-120.696601,g1,1993-04-14 00:00:00,G,http://www.clearcreekrafting.com/,G,Y,
"Colorado Adventure Center, Inc.",527,G,20121053577,G,"Clear Creek, Colorado River",G,"00181805, 00045730 ",G,1308 County Rd. 129,Glenwood Springs,CO,81601,23008,G,31.319125,-83.231216,g1,2012-01-24 00:00:00,G,https://www.raftingcolorado.com/,G,Y,
"Colorado Angling Company, LLC",576,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Colorado Cuththroat Adventures, Inc.",262,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Colorado Discover Ability,364,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Colorado Mountain College,215,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Colorado Northwestern Community College,579,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Colorado River Center, Inc.",333,G,20061071781,G,,x,,x,4199 Trough Rd,Bond,CO,80423,,N,39.895956,-106.608797,g1,2006-02-16 00:00:00,G,,x,x,
"Colorado River Guides, Inc.",179,G,19951032468,G,,x,,x,18370 Hwy 131,Bond,CO,80423,,N,39.893335,-106.698114,g1,1995-03-13 00:00:00,G,,x,x,
"Colorado River Outfitters, LLC.",493,G,20101497680,G,,x,,x,4199 Trough Rd,Bond,CO,80423,,N,39.895956,-106.608797,g1,2010-09-07 00:00:00,G,,x,x,
"Colorado River Runs, Inc.",030,G,19871473435,G,,x,,x,43 CR 11,Radium,CO,80459,,N,41.501205,-74.893527,g1,1982-04-27 00:00:00,G,,x,x,
Colorado Rocky Mountain School,257,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
CU Boulder-Outdoor Program,253,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Colorado Whitewater Rafting,530,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Colvig Silver Camps, Inc.",492,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Confluence Casting, LLC.",425,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Creede Guide & Outfitters, Inc.",427,G,20001002809,G,,x,,x,116 N. Main Street,Creede,CO,81130,40001,G,36.680156,-121.654053,g1,2000-01-06 00:00:00,G,,x,x,
